score_id,response_id,question_id,score
1,1,1,7
2,1,2,6
3,1,3,6
4,1,4,8
5,1,5,7
6,1,6,7
7,1,7,9
8,1,8,8
9,1,9,7
10,1,10,7
11,1,11,8
12,1,12,7
13,1,13,7
14,1,14,6
15,1,15,6
16,1,16,6
17,1,17,5
18,1,18,7
19,2,1,6
20,2,2,5
21,2,3,5
22,2,4,7
23,2,5,8
24,2,6,6
25,2,7,8
26,2,8,8
27,2,9,7
28,2,10,7
29,2,11,7
30,2,12,6
31,2,13,8
32,2,14,7
33,2,15,7
34,2,16,7
35,2,17,6
36,2,18,6
37,3,1,5
38,3,2,6
39,3,3,5
40,3,4,7
41,3,5,6
42,3,6,8
43,3,7,8
44,3,8,9
45,3,9,7
46,3,10,8
47,3,11,7
48,3,12,7
49,3,13,6
50,3,14,7
51,3,15,5
52,3,16,8
53,3,17,7
54,3,18,8
55,4,1,7
56,4,2,7
57,4,3,6
58,4,4,8
59,4,5,7
60,4,6,8
61,4,7,7
62,4,8,8
63,4,9,6
64,4,10,7
65,4,11,7
66,4,12,7
67,4,13,7
68,4,14,6
69,4,15,6
70,4,16,7
71,4,17,7
72,4,18,8
73,5,1,5
74,5,2,6
75,5,3,5
76,5,4,7
77,5,5,6
78,5,6,7
79,5,7,8
80,5,8,7
81,5,9,6
82,5,10,7
83,5,11,8
84,5,12,6
85,5,13,5
86,5,14,5
87,5,15,4
88,5,16,7
89,5,17,6
90,5,18,7
91,6,1,8
92,6,2,7
93,6,3,8
94,6,4,6
95,6,5,5
96,6,6,5
97,6,7,7
98,6,8,7
99,6,9,6
100,6,10,6
101,6,11,5
102,6,12,5
103,6,13,7
104,6,14,6
105,6,15,6
106,6,16,4
107,6,17,4
108,6,18,5
109,7,1,7
110,7,2,6
111,7,3,7
112,7,4,5
113,7,5,5
114,7,6,4
115,7,7,7
116,7,8,6
117,7,9,7
118,7,10,6
119,7,11,6
120,7,12,5
121,7,13,6
122,7,14,5
123,7,15,5
124,7,16,4
125,7,17,3
126,7,18,4
127,8,1,5
128,8,2,5
129,8,3,4
130,8,4,7
131,8,5,8
132,8,6,7
133,8,7,9
134,8,8,8
135,8,9,7
136,8,10,8
137,8,11,7
138,8,12,7
139,8,13,6
140,8,14,6
141,8,15,5
142,8,16,7
143,8,17,7
144,8,18,8
145,9,1,5
146,9,2,5
147,9,3,4
148,9,4,6
149,9,5,5
150,9,6,6
151,9,7,7
152,9,8,7
153,9,9,6
154,9,10,6
155,9,11,6
156,9,12,5
157,9,13,5
158,9,14,4
159,9,15,4
160,9,16,5
161,9,17,4
162,9,18,5
163,10,1,6
164,10,2,7
165,10,3,6
166,10,4,8
167,10,5,7
168,10,6,8
169,10,7,7
170,10,8,8
171,10,9,7
172,10,10,8
173,10,11,8
174,10,12,8
175,10,13,6
176,10,14,6
177,10,15,5
178,10,16,7
179,10,17,7
180,10,18,8
181,11,1,7
182,11,2,7
183,11,3,7
184,11,4,6
185,11,5,5
186,11,6,5
187,11,7,7
188,11,8,7
189,11,9,6
190,11,10,6
191,11,11,6
192,11,12,5
193,11,13,5
194,11,14,5
195,11,15,4
196,11,16,6
197,11,17,5
198,11,18,6
199,12,1,5
200,12,2,5
201,12,3,4
202,12,4,6
203,12,5,6
204,12,6,5
205,12,7,7
206,12,8,7
207,12,9,6
208,12,10,6
209,12,11,5
210,12,12,6
211,12,13,5
212,12,14,4
213,12,15,4
214,12,16,6
215,12,17,5
216,12,18,5
217,13,1,6
218,13,2,7
219,13,3,6
220,13,4,7
221,13,5,7
222,13,6,8
223,13,7,8
224,13,8,8
225,13,9,7
226,13,10,7
227,13,11,7
228,13,12,7
229,13,13,7
230,13,14,7
231,13,15,6
232,13,16,8
233,13,17,7
234,13,18,8
235,14,1,6
236,14,2,5
237,14,3,6
238,14,4,8
239,14,5,7
240,14,6,7
241,14,7,7
242,14,8,8
243,14,9,8
244,14,10,7
245,14,11,7
246,14,12,6
247,14,13,6
248,14,14,6
249,14,15,5
250,14,16,5
251,14,17,6
252,14,18,5
253,15,1,6
254,15,2,6
255,15,3,5
256,15,4,7
257,15,5,7
258,15,6,6
259,15,7,7
260,15,8,7
261,15,9,6
262,15,10,7
263,15,11,6
264,15,12,7
265,15,13,7
266,15,14,6
267,15,15,5
268,15,16,7
269,15,17,7
270,15,18,7
271,16,1,7
272,16,2,6
273,16,3,6
274,16,4,5
275,16,5,4
276,16,6,5
277,16,7,6
278,16,8,7
279,16,9,5
280,16,10,5
281,16,11,5
282,16,12,4
283,16,13,5
284,16,14,4
285,16,15,4
286,16,16,3
287,16,17,4
288,16,18,3
289,17,1,5
290,17,2,5
291,17,3,4
292,17,4,7
293,17,5,7
294,17,6,8
295,17,7,8
296,17,8,8
297,17,9,8
298,17,10,7
299,17,11,8
300,17,12,7
301,17,13,6
302,17,14,7
303,17,15,5
304,17,16,8
305,17,17,8
306,17,18,8
307,18,1,5
308,18,2,4
309,18,3,4
310,18,4,6
311,18,5,5
312,18,6,5
313,18,7,7
314,18,8,7
315,18,9,7
316,18,10,6
317,18,11,5
318,18,12,5
319,18,13,4
320,18,14,4
321,18,15,3
322,18,16,5
323,18,17,4
324,18,18,5
325,19,1,6
326,19,2,6
327,19,3,6
328,19,4,7
329,19,5,7
330,19,6,7
331,19,7,7
332,19,8,7
333,19,9,6
334,19,10,8
335,19,11,7
336,19,12,7
337,19,13,6
338,19,14,5
339,19,15,5
340,19,16,7
341,19,17,6
342,19,18,7
343,20,1,7
344,20,2,6
345,20,3,6
346,20,4,6
347,20,5,5
348,20,6,6
349,20,7,7
350,20,8,7
351,20,9,7
352,20,10,6
353,20,11,6
354,20,12,5
355,20,13,5
356,20,14,5
357,20,15,4
358,20,16,6
359,20,17,6
360,20,18,5
361,21,1,7
362,21,2,7
363,21,3,7
364,21,4,8
365,21,5,8
366,21,6,8
367,21,7,9
368,21,8,9
369,21,9,8
370,21,10,8
371,21,11,8
372,21,12,7
373,21,13,8
374,21,14,7
375,21,15,7
376,21,16,7
377,21,17,6
378,21,18,7
379,22,1,6
380,22,2,6
381,22,3,5
382,22,4,7
383,22,5,6
384,22,6,7
385,22,7,8
386,22,8,7
387,22,9,7
388,22,10,7
389,22,11,7
390,22,12,6
391,22,13,8
392,22,14,7
393,22,15,6
394,22,16,7
395,22,17,6
396,22,18,7
397,23,1,5
398,23,2,6
399,23,3,5
400,23,4,7
401,23,5,7
402,23,6,6
403,23,7,8
404,23,8,8
405,23,9,7
406,23,10,7
407,23,11,7
408,23,12,7
409,23,13,7
410,23,14,8
411,23,15,6
412,23,16,6
413,23,17,6
414,23,18,7
415,24,1,7
416,24,2,7
417,24,3,7
418,24,4,8
419,24,5,8
420,24,6,8
421,24,7,8
422,24,8,8
423,24,9,7
424,24,10,8
425,24,11,7
426,24,12,8
427,24,13,7
428,24,14,7
429,24,15,7
430,24,16,7
431,24,17,7
432,24,18,8
433,25,1,6
434,25,2,6
435,25,3,5
436,25,4,7
437,25,5,6
438,25,6,7
439,25,7,7
440,25,8,8
441,25,9,6
442,25,10,7
443,25,11,7
444,25,12,6
445,25,13,6
446,25,14,5
447,25,15,5
448,25,16,7
449,25,17,6
450,25,18,7
451,26,1,8
452,26,2,7
453,26,3,8
454,26,4,7
455,26,5,6
456,26,6,6
457,26,7,7
458,26,8,7
459,26,9,7
460,26,10,7
461,26,11,6
462,26,12,6
463,26,13,7
464,26,14,6
465,26,15,7
466,26,16,5
467,26,17,5
468,26,18,5
469,27,1,6
470,27,2,5
471,27,3,5
472,27,4,5
473,27,5,4
474,27,6,4
475,27,7,6
476,27,8,6
477,27,9,5
478,27,10,5
479,27,11,5
480,27,12,4
481,27,13,5
482,27,14,4
483,27,15,3
484,27,16,3
485,27,17,3
486,27,18,4
487,28,1,5
488,28,2,5
489,28,3,5
490,28,4,8
491,28,5,7
492,28,6,8
493,28,7,8
494,28,8,9
495,28,9,7
496,28,10,8
497,28,11,8
498,28,12,7
499,28,13,7
500,28,14,6
501,28,15,6
502,28,16,8
503,28,17,7
504,28,18,8
505,29,1,5
506,29,2,4
507,29,3,4
508,29,4,6
509,29,5,5
510,29,6,5
511,29,7,7
512,29,8,7
513,29,9,6
514,29,10,6
515,29,11,5
516,29,12,5
517,29,13,4
518,29,14,4
519,29,15,3
520,29,16,5
521,29,17,4
522,29,18,4
523,30,1,6
524,30,2,6
525,30,3,5
526,30,4,7
527,30,5,7
528,30,6,7
529,30,7,7
530,30,8,7
531,30,9,7
532,30,10,8
533,30,11,8
534,30,12,7
535,30,13,5
536,30,14,5
537,30,15,5
538,30,16,7
539,30,17,7
540,30,18,7
541,31,1,6
542,31,2,6
543,31,3,5
544,31,4,6
545,31,5,5
546,31,6,5
547,31,7,7
548,31,8,7
549,31,9,6
550,31,10,6
551,31,11,5
552,31,12,5
553,31,13,6
554,31,14,5
555,31,15,4
556,31,16,7
557,31,17,6
558,31,18,6
559,32,1,5
560,32,2,5
561,32,3,4
562,32,4,6
563,32,5,6
564,32,6,5
565,32,7,7
566,32,8,7
567,32,9,7
568,32,10,6
569,32,11,6
570,32,12,5
571,32,13,5
572,32,14,5
573,32,15,4
574,32,16,5
575,32,17,5
576,32,18,5
577,33,1,6
578,33,2,6
579,33,3,5
580,33,4,7
581,33,5,8
582,33,6,7
583,33,7,9
584,33,8,8
585,33,9,8
586,33,10,7
587,33,11,7
588,33,12,7
589,33,13,8
590,33,14,8
591,33,15,7
592,33,16,7
593,33,17,7
594,33,18,7
595,34,1,6
596,34,2,6
597,34,3,5
598,34,4,8
599,34,5,7
600,34,6,8
601,34,7,9
602,34,8,9
603,34,9,8
604,34,10,8
605,34,11,8
606,34,12,7
607,34,13,7
608,34,14,7
609,34,15,6
610,34,16,8
611,34,17,8
612,34,18,9
613,35,1,5
614,35,2,6
615,35,3,5
616,35,4,7
617,35,5,7
618,35,6,7
619,35,7,8
620,35,8,7
621,35,9,7
622,35,10,7
623,35,11,8
624,35,12,7
625,35,13,6
626,35,14,5
627,35,15,5
628,35,16,7
629,35,17,7
630,35,18,7
631,36,1,7
632,36,2,6
633,36,3,6
634,36,4,6
635,36,5,5
636,36,6,5
637,36,7,7
638,36,8,7
639,36,9,6
640,36,10,6
641,36,11,6
642,36,12,5
643,36,13,5
644,36,14,5
645,36,15,4
646,36,16,4
647,36,17,3
648,36,18,4
649,37,1,6
650,37,2,5
651,37,3,5
652,37,4,5
653,37,5,5
654,37,6,4
655,37,7,6
656,37,8,7
